,Series ID,Year,Month,Time Period Start Date,Value
0,LNS14000000,2019,M01,2019-01-01,4.0
1,LNS14000000,2019,M02,2019-02-01,3.8
2,LNS14000000,2019,M03,2019-03-01,3.8
3,LNS14000000,2019,M04,2019-04-01,3.6
4,LNS14000000,2019,M05,2019-05-01,3.6
5,LNS14000000,2019,M06,2019-06-01,3.6
6,LNS14000000,2019,M07,2019-07-01,3.7
7,LNS14000000,2019,M08,2019-08-01,3.7
8,LNS14000000,2019,M09,2019-09-01,3.5
9,LNS14000000,2019,M10,2019-10-01,3.6
10,LNS14000000,2019,M11,2019-11-01,3.6
11,LNS14000000,2019,M12,2019-12-01,3.6
12,LNS14000000,2020,M01,2020-01-01,3.5
13,LNS14000000,2020,M02,2020-02-01,3.5
14,LNS14000000,2020,M03,2020-03-01,4.4
15,LNS14000000,2020,M04,2020-04-01,14.7
16,LNS14000000,2020,M05,2020-05-01,13.2
17,LNS14000000,2020,M06,2020-06-01,11.0
18,LNS14000000,2020,M07,2020-07-01,10.2
19,LNS14000000,2020,M08,2020-08-01,8.4
20,LNS14000000,2020,M09,2020-09-01,7.9
21,LNS14000000,2020,M10,2020-10-01,6.9
22,LNS14000000,2020,M11,2020-11-01,6.7
23,LNS14000000,2020,M12,2020-12-01,6.7
24,LNS14000000,2021,M01,2021-01-01,6.4
25,LNS14000000,2021,M02,2021-02-01,6.2
26,LNS14000000,2021,M03,2021-03-01,6.0
27,LNS14000000,2021,M04,2021-04-01,6.0
28,LNS14000000,2021,M05,2021-05-01,5.8
29,LNS14000000,2021,M06,2021-06-01,5.9
30,LNS14000000,2021,M07,2021-07-01,5.4
31,LNS14000000,2021,M08,2021-08-01,5.2
32,LNS14000000,2021,M09,2021-09-01,4.7
33,LNS14000000,2021,M10,2021-10-01,4.6
34,LNS14000000,2021,M11,2021-11-01,4.2
35,LNS14000000,2021,M12,2021-12-01,3.9
36,LNS14000000,2022,M01,2022-01-01,4.0
37,LNS14000000,2022,M02,2022-02-01,3.8
38,LNS14000000,2022,M03,2022-03-01,3.6
39,LNS14000000,2022,M04,2022-04-01,3.6
40,LNS14000000,2022,M05,2022-05-01,3.6
