,DATE,Relative Freq
0,2020-02-01,0.0
1,2020-02-02,0.9
2,2020-02-03,2.0
3,2020-02-04,2.2
4,2020-02-05,2.5
5,2020-02-06,2.8
6,2020-02-07,4.4
7,2020-02-08,6.0
8,2020-02-09,6.9
9,2020-02-10,7.5
10,2020-02-11,8.6
11,2020-02-12,10.0
12,2020-02-13,11.1
13,2020-02-14,11.0
14,2020-02-15,9.7
15,2020-02-16,8.8
16,2020-02-17,8.0
17,2020-02-18,6.5
18,2020-02-19,4.5
19,2020-02-20,2.8
20,2020-02-21,1.4
21,2020-02-22,1.1
22,2020-02-23,0.7
23,2020-02-24,0.0
24,2020-02-25,0.6
25,2020-02-26,1.4
26,2020-02-27,2.0
27,2020-02-28,2.2
28,2020-02-29,2.6
29,2020-03-01,3.3
30,2020-03-02,4.2
31,2020-03-03,4.2
32,2020-03-04,3.8
33,2020-03-05,3.4
34,2020-03-06,3.0
35,2020-03-07,3.0
36,2020-03-08,2.6
37,2020-03-09,1.6
38,2020-03-10,0.9
39,2020-03-11,0.7
40,2020-03-12,0.7
41,2020-03-13,0.6
42,2020-03-14,-0.3
43,2020-03-15,-2.0
44,2020-03-16,-3.2
45,2020-03-17,-5.8
46,2020-03-18,-9.7
47,2020-03-19,-14.2
48,2020-03-20,-19.1
49,2020-03-21,-24.4
50,2020-03-22,-28.4
51,2020-03-23,-32.6
52,2020-03-24,-35.2
53,2020-03-25,-37.2
54,2020-03-26,-38.9
55,2020-03-27,-40.6
56,2020-03-28,-42.0
57,2020-03-29,-43.9
58,2020-03-30,-45.5
59,2020-03-31,-47.6
60,2020-04-01,-49.5
61,2020-04-02,-51.0
62,2020-04-03,-52.0
63,2020-04-04,-53.2
64,2020-04-05,-54.6
65,2020-04-06,-55.7
66,2020-04-07,-55.8
67,2020-04-08,-55.5
68,2020-04-09,-55.3
69,2020-04-10,-54.8
70,2020-04-11,-53.7
71,2020-04-12,-52.3
72,2020-04-13,-51.1
73,2020-04-14,-50.7
74,2020-04-15,-51.4
75,2020-04-16,-51.9
76,2020-04-17,-52.6
77,2020-04-18,-53.1
78,2020-04-19,-53.6
79,2020-04-20,-54.2
80,2020-04-21,-54.6
81,2020-04-22,-53.9
82,2020-04-23,-53.3
83,2020-04-24,-52.6
84,2020-04-25,-52.1
85,2020-04-26,-51.4
86,2020-04-27,-50.6
87,2020-04-28,-50.1
88,2020-04-29,-49.6
89,2020-04-30,-49.1
90,2020-05-01,-48.2
91,2020-05-02,-47.2
92,2020-05-03,-46.6
93,2020-05-04,-46.0
94,2020-05-05,-45.3
95,2020-05-06,-44.2
96,2020-05-07,-42.4
97,2020-05-08,-40.9
98,2020-05-09,-39.9
99,2020-05-10,-38.8
100,2020-05-11,-37.8
101,2020-05-12,-36.8
102,2020-05-13,-36.0
103,2020-05-14,-35.0
104,2020-05-15,-35.0
105,2020-05-16,-34.6
106,2020-05-17,-34.2
107,2020-05-18,-33.8
108,2020-05-19,-33.8
109,2020-05-20,-34.1
110,2020-05-21,-35.5
111,2020-05-22,-35.6
112,2020-05-23,-35.8
113,2020-05-24,-35.8
114,2020-05-25,-35.8
115,2020-05-26,-36.7
116,2020-05-27,-37.1
117,2020-05-28,-37.1
118,2020-05-29,-37.5
119,2020-05-30,-39.2
120,2020-05-31,-38.8
121,2020-06-01,-38.2
122,2020-06-02,-35.0
123,2020-06-03,-32.4
124,2020-06-04,-30.0
125,2020-06-05,-27.8
126,2020-06-06,-24.5
127,2020-06-07,-23.5
128,2020-06-08,-22.0
129,2020-06-09,-22.3
130,2020-06-10,-22.3
131,2020-06-11,-22.3
132,2020-06-12,-21.9
133,2020-06-13,-20.7
134,2020-06-14,-19.1
135,2020-06-15,-19.0
136,2020-06-16,-18.5
137,2020-06-17,-18.0
138,2020-06-18,-17.4
139,2020-06-19,-17.4
140,2020-06-20,-18.0
141,2020-06-21,-18.6
142,2020-06-22,-18.5
143,2020-06-23,-18.7
144,2020-06-24,-18.9
145,2020-06-25,-19.2
146,2020-06-26,-19.0
147,2020-06-27,-18.8
148,2020-06-28,-18.5
149,2020-06-29,-18.2
150,2020-06-30,-17.6
151,2020-07-01,-16.8
152,2020-07-02,-15.4
153,2020-07-03,-13.6
154,2020-07-04,-12.9
155,2020-07-05,-12.2
156,2020-07-06,-11.5
157,2020-07-07,-9.3
158,2020-07-08,-7.2
159,2020-07-09,-6.7
160,2020-07-10,-7.0
161,2020-07-11,-5.0
162,2020-07-12,-3.1
163,2020-07-13,-1.8
164,2020-07-14,-2.0
165,2020-07-15,-3.8
166,2020-07-16,-4.7
167,2020-07-17,-5.4
168,2020-07-18,-7.4
169,2020-07-19,-9.5
170,2020-07-20,-11.3
171,2020-07-21,-12.8
172,2020-07-22,-12.8
173,2020-07-23,-12.7
174,2020-07-24,-12.2
175,2020-07-25,-11.7
176,2020-07-26,-10.9
177,2020-07-27,-10.1
178,2020-07-28,-9.7
179,2020-07-29,-9.6
180,2020-07-30,-9.8
181,2020-07-31,-10.5
182,2020-08-01,-11.2
183,2020-08-02,-12.0
184,2020-08-03,-12.8
185,2020-08-04,-13.6
186,2020-08-05,-14.0
187,2020-08-06,-14.2
188,2020-08-07,-13.5
189,2020-08-08,-12.7
190,2020-08-09,-12.1
191,2020-08-10,-11.4
192,2020-08-11,-10.0
193,2020-08-12,-9.0
194,2020-08-13,-8.0
195,2020-08-14,-7.1
196,2020-08-15,-7.8
197,2020-08-16,-8.0
198,2020-08-17,-8.4
199,2020-08-18,-9.2
200,2020-08-19,-9.8
201,2020-08-20,-10.0
202,2020-08-21,-11.0
203,2020-08-22,-10.4
204,2020-08-23,-10.2
205,2020-08-24,-10.0
206,2020-08-25,-9.6
207,2020-08-26,-9.6
208,2020-08-27,-9.7
209,2020-08-28,-9.7
210,2020-08-29,-9.6
211,2020-08-30,-9.4
212,2020-08-31,-9.1
213,2020-09-01,-8.6
214,2020-09-02,-7.7
215,2020-09-03,-6.4
216,2020-09-04,-5.0
217,2020-09-05,-3.9
218,2020-09-06,-2.6
219,2020-09-07,-0.1
220,2020-09-08,0.2
221,2020-09-09,-0.8
222,2020-09-10,-2.0
223,2020-09-11,-3.3
224,2020-09-12,-4.3
225,2020-09-13,-5.8
226,2020-09-14,-8.5
227,2020-09-15,-8.5
228,2020-09-16,-7.5
229,2020-09-17,-6.6
230,2020-09-18,-6.0
231,2020-09-19,-5.8
232,2020-09-20,-5.4
233,2020-09-21,-5.0
234,2020-09-22,-5.2
235,2020-09-23,-5.9
236,2020-09-24,-6.2
237,2020-09-25,-5.9
238,2020-09-26,-5.2
239,2020-09-27,-4.6
240,2020-09-28,-3.9
241,2020-09-29,-3.5
242,2020-09-30,-3.2
243,2020-10-01,-3.1
244,2020-10-02,-3.5
245,2020-10-03,-3.9
246,2020-10-04,-4.3
247,2020-10-05,-4.7
