,Series ID,Year,Period,Label,Value
0,LNS14000025,2020,M01,2020-01-01,3.2
1,LNS14000025,2020,M02,2020-02-01,3.2
2,LNS14000025,2020,M03,2020-03-01,4.1
3,LNS14000025,2020,M04,2020-04-01,13.0
4,LNS14000025,2020,M05,2020-05-01,11.5
5,LNS14000025,2020,M06,2020-06-01,10.1
6,LNS14000025,2020,M07,2020-07-01,9.3
7,LNS14000025,2020,M08,2020-08-01,7.9
8,LNS14000025,2020,M09,2020-09-01,7.4
9,LNS14000025,2020,M10,2020-10-01,6.7
10,LNS14000025,2020,M11,2020-11-01,6.7
11,LNS14000025,2020,M12,2020-12-01,6.4
12,LNS14000025,2021,M01,2021-01-01,6.1
13,LNS14000025,2021,M02,2021-02-01,6.0
14,LNS14000025,2021,M03,2021-03-01,5.8
15,LNS14000025,2021,M04,2021-04-01,6.0
16,LNS14000025,2021,M05,2021-05-01,5.8
17,LNS14000025,2021,M06,2021-06-01,5.9
18,LNS14000025,2021,M07,2021-07-01,5.3
19,LNS14000025,2021,M08,2021-08-01,5.1
20,LNS14000025,2021,M09,2021-09-01,4.7
21,LNS14000025,2021,M10,2021-10-01,4.3
22,LNS14000025,2021,M11,2021-11-01,3.9
23,LNS14000025,2021,M12,2021-12-01,3.6
24,LNS14000025,2022,M01,2022-01-01,3.8
25,LNS14000025,2022,M02,2022-02-01,3.5
26,LNS14000025,2022,M03,2022-03-01,3.4
27,LNS14000025,2022,M04,2022-04-01,3.5
28,LNS14000025,2022,M05,2022-05-01,3.4
